Name,nc_state,degree,weightedDegree,betweenness,closeness,eigenvector,community
"Stahr, Madison",True,11.0,17.0,4423.85424840425,0.26203361681413395,0.0005384128005174083,9231
"Starliper, Nathan",True,14.0,17.0,1045.5131403310136,0.263611223137639,4.253961200025185e-06,5073
"Starly, Binil",True,12.0,17.0,16.666666666666668,0.19760737653587856,6.125321754587095e-10,5280
"Stes, Elisabeth",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Strohmaier, Jason",False,17.0,17.0,0.0,0.2446398973426723,3.961019761822363e-06,5073
"Su, Yufei",False,8.0,17.0,1.0,0.17009293680297397,2.0464138957438478e-10,6392
"Szoke, Antal",False,17.0,17.0,0.0,0.23043992848329178,6.693958852138856e-09,3252
"Sánchez‐Sevilla, José F.",False,17.0,17.0,0.0,0.2531396957123098,6.493928922984764e-08,764
"Tian, Weihua",False,17.0,17.0,0.0,0.23356900380305776,1.2060043432184395e-07,5280
"Tripodi, Pasquale",False,17.0,17.0,0.0,0.23043992848329178,6.693958852138856e-09,3252
"Tuholski, Michael R.",False,17.0,17.0,0.0,0.23835694936445093,2.7845537745985885e-08,7766
"Uauy, Cristobal",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Vallarino, José G.",False,17.0,17.0,0.0,0.2531396957123098,6.493928922984764e-08,764
"Van Damme, Daniël",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Vanremoortele, Tim",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Veres, Aniko",False,17.0,17.0,0.0,0.23043992848329178,6.693958852138856e-09,3252
"Verlackt, Christof",False,11.0,17.0,0.8571428571428571,0.21745639465804859,2.812608944901535e-08,5541
"Vioque, Amalia",False,17.0,17.0,0.0,0.2531396957123098,6.493928922984764e-08,764
"Vu, Lam Dai",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Wang, Weidong",False,17.0,17.0,0.0,0.23835694936445093,2.7845537745985885e-08,7766
"Wang, Yaowei",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
